PERIODO,MES,AGENCIA,SERVICIO HOSPEDAJE,VENTAS HOSPEDAJE EN MILES DE PESOS,SERVICIOS AEREOS,VENTAS AEREOS EN MILES DE PESOS,SERVICIOS TERRESTRE,VENTAS TERRESTRE EN MILES DE PESOS,SERVICIOS EXCURSIONES,VENTAS EXCURSIONES EN MILES DE PESOS,SERVICIOS PAQUETES PROPIOS,VENTAS PAQUETES PROPIOS EN MILES DE PESOS,SERVICIOS PAQUETES NO PROPIOS,VENTAS PAQUETES NO PROPIOS EN MILES DE PESOS,SERVICIOS TURISMO DE NEGOCIOS,VENTAS TURISMO DE NEGOCIOS EN MILES DE PESOS,SERVICIOS BALNEARIO Y O PARQUES RECREATIVOS,VENTAS BALNEARIO Y O PARQUES RECREATIVOS EN MILES DE PESOS
2013,JULIO DICIEMBRE,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,0,0,142,539.68,0,0,0,0,0,0,12,495.92,0,0,0,0
2013,JULIO DICIEMBRE,SAN FERNANDO,397,650.99,607,8940.15,10,4.31,0,0,0,0,194,3641.6,0,0,0,0
2013,JULIO DICIEMBRE,CONSEJO DE LA  JUDICATURA,32,101.84,1199,6004.37,10,7.27,0,0,0,0,109,1236.96,0,0,74,18645
2013,JULIO DICIEMBRE,AGUASCALIENTES AGUASCALIENTES,231,800.82,175,1805.01,2834,3235.28,0,0,0,0,376,3083.85,0,0,0,0
2013,JULIO DICIEMBRE,MEXICALI BAJA CALIFORNIA,3,840.74,849,3939.34,2560,1383.27,0,0,0,0,218,1176.44,0,0,0,0
2013,JULIO DICIEMBRE,LA PAZ BAJA CALIFORMIA SUR,17,23.08,1661,12362,9445,5037.37,0,0,0,0,104,6.04,0,0,0,0
2013,JULIO DICIEMBRE,CAMPECHE CAMPECHE,89,166.39,95,3789.8,8,30.74,8,171.08,0,0,7,18,0,0,0,0
2013,JULIO DICIEMBRE,SALTILLO COAHUILA,354,966.16,1345,4878.86,8708,6001.65,150,196.26,0,0,3927,714.95,0,0,0,0
2013,JULIO DICIEMBRE,COLIMA COLIMA,180,330.73,137,3104.35,1654,2806.09,0,0,0,0,2,6.67,0,0,0,0
2013,JULIO DICIEMBRE,TUXTLA GUTIERREZ CHIAPAS,48,107.14,2469,9246.44,9170,9468.91,0,0,0,0,0,0,0,0,0,0
2013,JULIO DICIEMBRE,CHIHUAHUA CHIHUAHUA,45,102.82,88,6069.06,407,2760.08,0,0,0,0,5,26,0,0,0,0
2013,JULIO DICIEMBRE,DURANGO DURANGO,99,556.65,1050,3829.77,3984,4289.15,0,0,0,0,9,69.25,0,0,0,0
2013,JULIO DICIEMBRE,CELAYA GUANAJUATO,269,699.51,28,302.19,17400,11863.68,0,0,0,0,31,545.61,0,0,0,0
2013,JULIO DICIEMBRE,ACAPULCO GUERRERO,60,59.56,3,24.8,45831,8831.59,0,0,0,0,0,0,0,0,0,0
2013,JULIO DICIEMBRE,PACHUCA HIDALGO,357,553.97,65,381.53,0,0,0,0,0,0,28,168.18,0,0,0,0
2013,JULIO DICIEMBRE,GUADALAJARA JALISCO,7,20.25,240,895.71,10668,7872.86,0,0,0,0,179,348.01,0,0,0,0
2013,JULIO DICIEMBRE,TOLUCA ESTADO MEXICO,386,876.05,78,472.84,0,0,0,0,0,0,184,3230.31,0,0,0,0
2013,JULIO DICIEMBRE,MORELIA MICHOACAN,33,187.25,16,308.07,1175,17197.45,0,0,0,0,4,39.3,0,0,0,0
2013,JULIO DICIEMBRE,CUERNAVACA MORELOS,643,1000.54,16,97.79,20,238.02,0,0,0,0,10,126.88,0,0,0,0
2013,JULIO DICIEMBRE,TEPIC NAYARIT,202,382.36,545,2700.31,420,2651.82,0,0,0,0,33,270.52,0,0,0,0
2013,JULIO DICIEMBRE,MONTERREY NUEVO LEON,38,155.59,432,1633.25,2955,2362.33,0,0,0,0,11,330.06,0,0,0,0
2013,JULIO DICIEMBRE,OAXACA OAXACA,91,137.28,124,2621.59,215,1949.07,0,0,0,0,8,143.61,0,0,0,0
2013,JULIO DICIEMBRE,PUEBLA PUEBLA,251,428.1,122,479.07,12,125.89,0,0,0,0,66,446.47,0,0,0,0
2013,JULIO DICIEMBRE,QUERETARO QUERETARO,150,308.83,41,165.88,4482,2650.64,0,0,0,0,29,197.6,0,0,0,0
2013,JULIO DICIEMBRE,CHETUMAL QUINTANA ROO,105,80.88,596,5290.35,21557,6203.31,0,0,0,0,4,10.71,0,0,0,0
2013,JULIO DICIEMBRE,SAN LUS POTOSI SAN LUIS POTOSI,180,292.69,3,609.99,534,2026.76,0,0,0,0,0,0,0,0,0,0
2013,JULIO DICIEMBRE,CULIACAN SINALOA,28,116.13,111,10602.03,295,814.76,0,0,0,0,64,398.79,0,0,0,0
